,Place,Date,Temperature,Humidity
176,DEUSTU,2020-03-15 07:00:10,"4,4","74,57"
177,DEUSTU,2020-03-15 07:00:10,"4,5","72,85"
178,DEUSTU,2020-03-15 07:00:10,"4,6","72,28"
179,DEUSTU,2020-03-15 07:00:10,"4,6","72,53"
180,DEUSTU,2020-03-15 07:00:10,"4,6","72,83"
181,DEUSTU,2020-03-15 07:00:10,"4,9","69,45"
182,DEUSTU,2020-03-15 07:00:10,"4,8","70,38"
183,DEUSTU,2020-03-15 07:00:10,"5,1","66,80"
184,DEUSTU,2020-03-15 07:00:10,"5,3","65,73"
185,DEUSTU,2020-03-15 07:00:10,"5,5","65,01"
186,DEUSTU,2020-03-15 07:00:10,"5,7","63,12"
187,DEUSTU,2020-03-15 07:00:10,"5,9","62,20"
188,DEUSTU,2020-03-15 07:00:10,"5,8","62,74"
189,DEUSTU,2020-03-15 07:00:10,"5,7","62,85"
190,DEUSTU,2020-03-15 07:00:10,"5,6","63,48"
191,DEUSTU,2020-03-15 07:00:10,"5,4","64,24"
192,DEUSTU,2020-03-15 07:00:10,"5,6","62,33"
193,DEUSTU,2020-03-15 07:00:10,"5,7","61,34"
194,DEUSTU,2020-03-15 07:00:10,"6,0","60,46"
195,DEUSTU,2020-03-15 07:00:10,"6,4","58,46"
196,DEUSTU,2020-03-15 07:00:10,"6,7","58,06"
197,DEUSTU,2020-03-15 07:00:10,"7,1","55,96"
198,DEUSTU,2020-03-15 07:00:10,"7,5","54,46"
199,DEUSTU,2020-03-15 07:00:10,"6,8","59,21"
200,DEUSTU,2020-03-15 07:00:10,"6,9","58,70"
201,DEUSTU,2020-03-15 07:00:10,"7,4","56,03"
202,DEUSTU,2020-03-15 07:00:10,"8,3","52,40"
203,DEUSTU,2020-03-15 07:00:10,"8,4","51,64"
204,DEUSTU,2020-03-15 07:00:10,"8,7","51,59"
205,DEUSTU,2020-03-15 07:00:10,"8,7","52,06"
206,DEUSTU,2020-03-15 07:00:10,"9,1","50,31"
207,DEUSTU,2020-03-15 07:00:10,"9,3","50,81"
208,DEUSTU,2020-03-15 07:00:10,"9,5","50,85"
209,DEUSTU,2020-03-15 07:00:10,"10,1","48,43"
210,DEUSTU,2020-03-15 07:00:10,"11,4","42,01"
211,DEUSTU,2020-03-15 07:00:10,"12,3","41,58"
212,DEUSTU,2020-03-15 07:00:10,"12,4","42,38"
213,DEUSTU,2020-03-15 07:00:10,"12,3","41,84"
214,DEUSTU,2020-03-15 07:00:10,"12,6","42,78"
215,DEUSTU,2020-03-15 07:00:10,"13,1","39,69"
216,DEUSTU,2020-03-15 07:00:10,"13,4","38,99"
217,DEUSTU,2020-03-15 07:00:10,"13,5","39,10"
218,DEUSTU,2020-03-15 07:00:10,"13,9","38,93"
219,DEUSTU,2020-03-15 07:00:10,"14,2","40,79"
220,DEUSTU,2020-03-15 07:00:10,"14,1","40,98"
221,DEUSTU,2020-03-15 07:00:10,"14,2","39,56"
222,DEUSTU,2020-03-15 07:00:10,"14,3","41,28"
223,DEUSTU,2020-03-15 07:00:10,"13,7","47,30"
224,DEUSTU,2020-03-15 07:00:10,"13,5","49,24"
225,DEUSTU,2020-03-15 07:00:10,"13,2","52,04"
226,DEUSTU,2020-03-15 07:00:10,"13,0","52,96"
227,DEUSTU,2020-03-15 07:00:10,"12,7","54,06"
228,DEUSTU,2020-03-15 07:00:10,"12,5","56,39"
229,DEUSTU,2020-03-15 07:00:10,"12,4","56,25"
230,DEUSTU,2020-03-15 07:00:10,"12,3","58,88"
231,DEUSTU,2020-03-15 07:00:10,"12,4","58,18"
232,DEUSTU,2020-03-15 07:00:10,"12,3","58,66"
233,DEUSTU,2020-03-15 07:00:10,"12,3","59,53"
234,DEUSTU,2020-03-15 07:00:10,"11,9","62,74"
235,DEUSTU,2020-03-15 07:00:10,"11,8","64,58"
236,DEUSTU,2020-03-15 07:00:10,"11,7","66,05"
237,DEUSTU,2020-03-15 07:00:10,"11,6","67,88"
238,DEUSTU,2020-03-15 07:00:10,"11,5","68,58"
239,DEUSTU,2020-03-15 07:00:10,"11,3","68,64"
240,DEUSTU,2020-03-15 07:00:10,"11,2","67,79"
241,DEUSTU,2020-03-15 07:00:10,"11,1","69,17"
242,DEUSTU,2020-03-15 07:00:10,"11,1","70,17"
243,DEUSTU,2020-03-15 07:00:10,"11,0","72,29"
244,DEUSTU,2020-03-15 07:00:10,"10,9","73,96"
245,DEUSTU,2020-03-15 07:00:10,"10,8","74,84"
246,DEUSTU,2020-03-15 07:00:10,"10,5","75,83"
247,DEUSTU,2020-03-15 07:00:10,"10,2","77,18"
248,DEUSTU,2020-03-15 07:00:10,"9,8","78,31"
249,DEUSTU,2020-03-15 07:00:10,"9,3","78,32"
250,DEUSTU,2020-03-15 07:00:10,"9,0","78,85"
251,DEUSTU,2020-03-15 07:00:10,"8,7","79,45"
252,DEUSTU,2020-03-15 07:00:10,"8,5","79,86"
253,DEUSTU,2020-03-15 07:00:10,"8,3","80,50"
254,DEUSTU,2020-03-15 07:00:10,"8,1","81,10"
255,DEUSTU,2020-03-15 07:00:10,"7,9","81,90"
256,DEUSTU,2020-03-15 07:00:10,"7,8","82,60"
257,DEUSTU,2020-03-15 07:00:10,"7,8","83,00"
258,DEUSTU,2020-03-15 07:00:10,"7,7","83,30"
259,DEUSTU,2020-03-15 07:00:10,"7,5","83,60"
260,DEUSTU,2020-03-15 07:00:10,"7,5","83,70"
261,DEUSTU,2020-03-15 07:00:10,"7,5","83,90"
262,DEUSTU,2020-03-15 07:00:10,"7,7","83,50"
263,DEUSTU,2020-03-15 07:00:10,"8,1","80,60"
264,DEUSTU,2020-03-15 07:00:10,"8,4","78,48"
265,DEUSTU,2020-03-15 07:00:10,"8,5","78,51"
266,DEUSTU,2020-03-15 07:00:10,"8,3","80,40"
267,DEUSTU,2020-03-15 07:00:10,"8,0","81,40"
268,DEUSTU,2020-03-15 07:00:10,"7,8","81,40"
269,DEUSTU,2020-03-15 07:00:10,"7,8","81,20"
270,DEUSTU,2020-03-15 07:00:10,"7,7","82,10"
271,DEUSTU,2020-03-15 07:00:10,"7,4","82,50"
272,DEUSTU,2020-03-15 07:00:10,"7,3","82,10"
273,DEUSTU,2020-03-15 07:00:10,"7,2","80,50"
274,DEUSTU,2020-03-15 07:00:10,"7,0","80,40"
275,DEUSTU,2020-03-15 07:00:10,"6,9","79,73"
276,DEUSTU,2020-03-15 07:00:10,"6,7","80,30"
277,DEUSTU,2020-03-15 07:00:10,"6,4","82,10"
278,DEUSTU,2020-03-15 07:00:10,"6,1","83,10"
279,DEUSTU,2020-03-15 07:00:10,"5,9","84,10"
280,DEUSTU,2020-03-15 07:00:10,"5,8","85,30"
281,DEUSTU,2020-03-15 07:00:10,"5,6","85,40"
282,DEUSTU,2020-03-15 07:00:10,"5,5","85,50"
283,DEUSTU,2020-03-15 07:00:10,"5,6","85,70"
284,DEUSTU,2020-03-15 07:00:10,"5,5","85,70"
285,DEUSTU,2020-03-15 07:00:10,"5,5","85,60"
286,DEUSTU,2020-03-15 07:00:10,"5,5","85,50"
287,DEUSTU,2020-03-15 07:00:10,"5,5","85,20"
288,DEUSTU,2020-03-15 07:00:10,"5,5","84,70"
289,DEUSTU,2020-03-15 07:00:10,"5,4","84,60"
290,DEUSTU,2020-03-15 07:00:10,"5,6","83,60"
291,DEUSTU,2020-03-15 07:00:10,"5,8","82,10"
292,DEUSTU,2020-03-15 07:00:10,"5,8","80,40"
293,DEUSTU,2020-03-15 07:00:10,"5,8","78,81"
294,DEUSTU,2020-03-15 07:00:10,"5,8","78,10"
295,DEUSTU,2020-03-15 07:00:10,"5,6","78,51"
296,DEUSTU,2020-03-15 07:00:10,"5,5","79,06"
297,DEUSTU,2020-03-15 07:00:10,"5,4","79,51"
298,DEUSTU,2020-03-15 07:00:10,"5,2","79,91"
299,DEUSTU,2020-03-15 07:00:10,"5,1","80,40"
300,DEUSTU,2020-03-15 07:00:10,"5,1","81,60"
301,DEUSTU,2020-03-15 07:00:10,"5,0","82,00"
302,DEUSTU,2020-03-15 07:00:10,"5,0","82,00"
303,DEUSTU,2020-03-15 07:00:10,"5,1","80,60"
304,DEUSTU,2020-03-15 07:00:10,"5,2","78,87"
305,DEUSTU,2020-03-15 07:00:10,"5,2","78,12"
306,DEUSTU,2020-03-15 07:00:10,"5,5","74,12"
307,DEUSTU,2020-03-15 07:00:10,"5,8","72,71"
308,DEUSTU,2020-03-15 07:00:10,"6,2","72,40"
309,DEUSTU,2020-03-15 07:00:10,"6,2","71,54"
310,DEUSTU,2020-03-15 07:00:10,"6,0","72,74"
311,DEUSTU,2020-03-15 07:00:10,"5,9","71,73"
312,DEUSTU,2020-03-15 07:00:10,"6,2","71,38"
313,DEUSTU,2020-03-15 07:00:10,"6,3","70,43"
314,DEUSTU,2020-03-15 07:00:10,"6,2","70,70"
315,DEUSTU,2020-03-15 07:00:10,"5,7","71,85"
316,DEUSTU,2020-03-15 07:00:10,"6,0","70,37"
317,DEUSTU,2020-03-15 07:00:10,"6,3","69,31"
318,DEUSTU,2020-03-15 07:00:10,"6,5","68,93"
319,DEUSTU,2020-03-15 07:00:10,"6,8","68,98"
320,DEUSTU,2020-03-15 07:00:10,"6,9","69,18"
321,DEUSTU,2020-03-15 07:00:10,"6,8","69,62"
322,DEUSTU,2020-03-15 07:00:10,"6,8","70,26"
323,DEUSTU,2020-03-15 07:00:10,"6,6","69,40"
324,DEUSTU,2020-03-15 07:00:10,"6,6","69,30"
325,DEUSTU,2020-03-15 07:00:10,"6,5","68,92"
326,DEUSTU,2020-03-15 07:00:10,"6,4","68,59"
327,DEUSTU,2020-03-15 07:00:10,"6,6","68,03"
328,DEUSTU,2020-03-15 07:00:10,"7,2","67,23"
329,DEUSTU,2020-03-15 07:00:10,"7,3","66,65"
330,DEUSTU,2020-03-15 07:00:10,"7,2","65,89"
331,DEUSTU,2020-03-15 07:00:10,"7,3","65,70"
332,DEUSTU,2020-03-15 07:00:10,"7,2","66,09"
333,DEUSTU,2020-03-15 07:00:10,"7,5","64,58"
334,DEUSTU,2020-03-15 07:00:10,"7,5","65,05"
335,DEUSTU,2020-03-15 07:00:10,"7,6","64,43"
336,DEUSTU,2020-03-15 07:00:10,"7,5","64,50"
337,DEUSTU,2020-03-15 07:00:10,"7,7","63,96"
338,DEUSTU,2020-03-15 07:00:10,"7,6","64,95"
339,DEUSTU,2020-03-15 07:00:10,"7,5","66,96"
340,DEUSTU,2020-03-15 07:00:10,"7,5","67,74"
341,DEUSTU,2020-03-15 07:00:10,"7,4","67,95"
342,DEUSTU,2020-03-15 07:00:10,"7,6","66,56"
343,DEUSTU,2020-03-15 07:00:10,"7,7","65,98"
344,DEUSTU,2020-03-15 07:00:10,"7,7","65,90"
345,DEUSTU,2020-03-15 07:00:10,"7,9","65,75"
346,DEUSTU,2020-03-15 07:00:10,"8,1","65,71"
347,DEUSTU,2020-03-15 07:00:10,"8,0","66,58"
348,DEUSTU,2020-03-15 07:00:10,"8,1","65,57"
349,DEUSTU,2020-03-15 07:00:10,"8,2","65,47"
350,DEUSTU,2020-03-15 07:00:10,"8,2","67,56"
351,DEUSTU,2020-03-15 07:00:10,"8,2","67,94"
352,DEUSTU,2020-03-15 07:00:10,"8,5","67,04"
353,DEUSTU,2020-03-15 07:00:10,"8,5","67,60"
354,DEUSTU,2020-03-15 07:00:10,"8,5","66,44"
355,DEUSTU,2020-03-15 07:00:10,"8,7","66,26"
